Website,Headline,URL,Media Type,Media Link,Alt Text,Caption Text
NYT,Trump Won't Go Forward With Debate,http://thecaucus.blogs.nytimes.com/2011/12/13/trump-wont-go-forward-with-debate/,NONE,NONE,NONE,NONE
FOX,Dem running for Senate in Iowa mocks Grassley as farmer 'who never went to law school',http://www.foxnews.com/politics/2014/03/25/rep-braley-mocks-sen-grassley-as-just-iowa-farmer-who-never-went-to-law-school/,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/braleygrassley.jpg?ve=1&tl=1?ve=1&tl=1,"Rep. Bruce Braley, left, and Sen. Chuck Grassley.","          Rep. Bruce Braley, left, and Sen. Chuck Grassley.
          (AP/reuters)"
NYT,Representative Apologizes for Criticizing Iowa Senator,https://www.nytimes.com/2014/03/26/us/politics/representative-apologizes-for-criticizing-iowa-senator.html,VIDEO,https://www.youtube.com/embed/QH51LNpqZ94,,America Rising posted video of Representative Bruce Braley talking about Senator Charles E. Grassley.
FOX,Colorado's top cop defends pot law after challenges from neighboring states ,http://www.foxnews.com/politics/2014/12/19/colorado-top-cop-defends-pot-law-after-challenges-from-neighboring-states.html,IMAGE,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/a47d8124-Colorado-Pot-Challenge.jpg?ve=1&tl=1?ve=1&tl=1,"ASPEN, CO - APRIL 18:  An array of marijuana samples are seen on a table at the Cannabis Crown 2010 expo in Aspen, Colorado. Colorado, one of 14 states to allow use of medical marijuana, has experienced an explosion in marijuana dispensaries, trade shows and related businesses in the last year as marijuana use becomes more mainstream.  (Photo by Chris Hondros/Getty Images)","          ASPEN, CO - APRIL 18:  An array of marijuana samples are seen on a table at the Cannabis Crown 2010 expo in Aspen, Colorado. Colorado, one of 14 states to allow use of medical marijuana, has experienced an explosion in marijuana dispensaries, trade shows and related businesses in the last year as marijuana use becomes more mainstream.  (Photo by Chris Hondros/Getty Images)
          (2010 Getty Images)"
NYT,Nebraska and Oklahoma Sue Colorado Over Marijuana Law,https://www.nytimes.com/2014/12/19/us/politics/nebraska-and-oklahoma-sue-colorado-over-marijuana-law.html,IMAGE,https://static01.nyt.com/images/2014/12/19/us/POT/POT-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,Cultivating marijuana near Colorado Springs in February. A suit argues that an influx of marijuana has taxed law enforcement in other states.
FOX,"Clinton, advisers have lots to say on key trade legislation, except where candidate stands",http://www.foxnews.com/politics/2015/06/14/clinton-stays-mum-on-critical-trade-agreement-adviser-says-waiting-for-final.html,VIDEO,https://a57.foxnews.com/a57.foxnews.com/media2.foxnews.com/2015/06/12/640/360/931/524/kelly_clinton_061215.jpg?ve=1&tl=1,,New questions over Clinton campaign strategy on 'The Kelly File'
NYT,Hillary Clinton Urges Obama to Listen to Democrats on Trade Deal,https://www.nytimes.com/politics/first-draft/2015/06/14/hillary-clinton-urges-obama-to-listen-to-democrats-on-trade-deal/,IMAGE,https://static01.nyt.com/images/2015/06/14/us/14hillary-firstdraft/14hillary-firstdraft-tmagArticle.jpg,"Hillary Rodham Clinton on Sunday urged President Obama to make changes to the Trans-Pacific Partnership trade deal during a speech in Des Moines.",Hillary Rodham Clinton on Sunday urged President Obama to make changes to the Trans-Pacific Partnership trade deal during a speech in Des Moines.
FOX,Senate intel panel subpoenas two Flynn businesses in Russia probe,http://www.foxnews.com/politics/2017/05/23/senate-intel-panel-subpoenas-two-flynn-businesses-in-russia-probe.html,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2017/05/22/931/524/694940094001_5444196513001_5444182080001-vs.jpg?ve=1&tl=1,,Former national security adviser says he will not provide records to the Senate Intelligence Committee; chief intelligence correspondent Catherine Herridge reports from Washington
NYT,"House Intelligence Committee Will Subpoena Flynn, Schiff Says",https://mobile.nytimes.com/2017/05/24/us/politics/flynn-subpoena-house-intelligence-committee.html,IMAGE,https://static01.nyt.com/images/2017/05/25/us/25flynn/merlin-to-scoop-122159054-774128-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,"Michael T. Flynn, President Trump’s former national security adviser, at Trump Tower in Manhattan in December."
FOX,FBI's show of force in Roger Stone arrest spurs criticism of Mueller tactics,https://www.foxnews.com/politics/roger-stones-predawn-fbi-arrest-operation-sparks-controversy,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,,
